,Serial_Number,Roll_Num,Uni_ID,Student Name,AML3201,CSL2301,CSL3307,CSL4207,CSL4208,CSL4305,CSL4318,CSL4336,CSL5210,CSP2301,ECL3311,GEW1601,GEW1603,GEW1604,GEW1605,GEW1607,GEW1608,GEW1609,GEW1610,GEW1611,GEW1613,HUL2401,HUL3301,AMP1201,CSP1307,CSP2210,ECP1311,total
0, 1,10123411,20012001,AAA AAA1,0.0,81.82,0.0,91.55,87.72,0.0,83.33,76.74,0.0,88.89,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,83.87
1, 2,10123412,20012002,AAA AAA2,93.33,90.0,0.0,77.19,86.21,0.0,0.0,0.0,86.67,87.1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0,0,0,86.67,0.0,81.97,0.0,85.56
2, 3,10123413,20012003,AAA AAA3,71.11,76.67,0.0,75.44,74.14,0.0,0.0,0.0,80.0,80.65,0.0,0.0,0.0,0.0,100,0,0.0,0.0,0.0,0.0,0,0,0,86.67,0.0,75.41,0.0,77.56
3, 4,10123414,20012004,AAA AAA4,0.0,78.79,0.0,81.69,85.96,0.0,86.67,86.05,0.0,85.19,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,84.79
4, 5,10123415,20012005,AAA AAA5,0.0,78.79,0.0,85.92,82.46,0.0,93.33,81.4,0.0,81.48,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,84.56
5, 6,10123416,20012006,AAA AAA6,84.44,83.33,0.0,75.44,86.21,0.0,0.0,0.0,80.0,87.1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0,0,0,86.67,0.0,77.05,0.0,82.22
6, 7,10123417,20012007,AAA AAA7,73.33,76.67,0.0,75.44,75.86,0.0,0.0,0.0,73.33,80.65,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,100,0,0,80.0,0.0,70.49,0.0,75.78
7, 8,10123418,20012008,AAA AAA8,86.67,73.33,0.0,77.19,77.59,0.0,0.0,0.0,80.0,83.87,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0,0,0,73.33,0.0,73.77,0.0,78.67
8, 9,10123419,20012009,AAA AAA9,84.44,86.67,0.0,75.44,82.76,0.0,0.0,0.0,86.67,87.1,0.0,0.0,0.0,0.0,100,0,0.0,0.0,0.0,0.0,0,0,0,80.0,0.0,77.05,0.0,82.0
9, 10,10123420,20012010,AAA AAA10,82.22,76.67,0.0,80.7,82.76,0.0,0.0,0.0,86.67,85.48,0.0,0.0,0.0,0.0,100,0,0.0,0.0,0.0,0.0,0,0,0,80.0,0.0,73.77,0.0,80.67
